,band_name,fans,formed,origin,split,style
437,Van Canto,188,2006,Germany,2006,"Power,A,Cappella"
438,Nuclear Assault,187,1984,USA,-,Thrash
439,A Forest Of Stars,186,2007,United Kingdom,2007,Atmospheric black
440,All Shall Perish,186,2002,USA,-,Deathcore
441,The Sword,186,2003,USA,2003,"Doom,Stoner"
442,Caladan Brood,185,2008,USA,-,"Atmospheric black,Folk"
443,Galneryus,185,2001,Japan,2001,Power
444,Adagio,184,2000,France,-,"Progressive,Symphonic power"
445,Akercocke,184,1996,United Kingdom,1996,"Black,Death,Progressive death"
446,Axel Rudi Pell,184,1989,Germany,-,"Heavy,Power"
447,Edenbridge,184,1998,Austria,1998,"Symphonic,Progressive,Power"
448,Inquisition,184,1988,"Colombia, USA",-,"Black,Thrash"
449,Chthonic,183,1995,Taiwan,1995,"Melodic black,Extreme power,Folk"
450,Dark Angel,183,1981,USA,-,Bay area thrash
451,Parkway Drive,183,2002,Australia,2002,Metalcore
452,Psycroptic,183,1999,Australia,-,Technical death
453,Poisonblack,182,2000,Finland,2000,"Suomi,Depressive heavy"
454,The Dillinger Escape Plan,182,1997,USA,-,"Math,Metalcore"
455,Deafheaven,179,2010,USA,2010,"Atmospheric black,Post-metal,Shoegaze"
456,Rapture,179,1998,Finland,-,"Melodic death,Doom"
457,Kauan,178,2005,Russia,2005,"Folk,Doom,Black"
458,Into Eternity,177,1997,Canada,-,"Melodic death,Progressive"
459,Thy Catafalque,177,1998,"Hungary, United Kingdom",1998,Avantgarde black
460,Enshine,175,2009,,-,Gothic doom
461,Kylesa,173,2001,USA,2001,Sludge
462,Cain's Offering,172,2005,Finland,-,Power
463,Cathedral,172,1989,United Kingdom,1989,"Doom,Stoner"
464,Forbidden,172,1985,USA,-,Bay area thrash
465,Spawn Of Possession,172,1997,Sweden,1997,"Brutal death,Technical death"
466,Soen,171,2004,Sweden,-,"Progressive,Alternative"
467,Dalriada,170,2006,Hungary,2006,Folk
468,Evoken,170,1992,USA,-,"Death,Funeral doom"
469,Misery Index,170,2001,USA,2001,Deathgrind
470,August Burns Red,169,2003,USA,-,Technical metalcore
471,Disarmonia Mundi,169,2000,Italy,2000,Gothenburg
472,In Vain,168,2003,Norway,-,"Death,Progressive death"
473,Jorn,167,2000,Norway,2000,Heavy
474,Absu,166,1989,USA,-,"Death,Blackened thrash"
475,Anorexia Nervosa,166,1995,France,1995,"Symphonic black,Industrial"
476,Charon,166,1992,Finland,2011,"Suomi,Death"
477,Suicide Silence,166,2002,USA,2002,Deathcore
478,Vomitory,166,1989,Sweden,2013,Death
479,Born Of Osiris,165,2003,USA,2003,Progressive deathcore
480,Sleep,165,1990,USA,-,Stoner
481,Unearth,165,1998,USA,1998,Metalcore
482,Forest Of Shadows,164,1997,Sweden,-,"Death doom,Atmospheric doom"
483,Goatwhore,164,1997,USA,1997,"Blackened thrash,Blackened death"
484,Noumena,164,1998,Finland,-,Melodic death
485,Stream Of Passion,164,2005,The Netherlands,2005,Symphonic progressive
486,White Zombie,164,1985,USA,1998,"Noise rock,Alternative thrash,Industrial"
487,Onslaught,162,1983,United Kingdom,1983,Thrash
488,Thin Lizzy,162,1969,Ireland,-,"Hard rock,Heavy"
489,Ulcerate,162,2000,New Zealand,2000,Technical death
490,Battlelore,161,1999,Finland,-,"Folk,Power"
491,Black Sun Aeon,161,2008,Finland,2008,"Melodic death,Doom"
492,Lacrimas Profundere,161,1993,Germany,-,"Doom,Gothic"
493,Nocturnal Rites,161,1990,Sweden,1990,Power
494,Heathen,160,1984,USA,-,Bay area thrash
495,Pelican,160,2001,USA,2001,Instrumental post-metal
496,Acid Bath,159,1990,USA,1997,"Doom,Sludge"
497,Amberian Dawn,158,2006,Finland,2006,Symphonic power
498,Converge,158,1990,USA,-,"Metalcore,Hardcore,Post-hardcore,Punk"
499,Serenity,158,2001,Austria,2001,Symphonic power
500,Star One,158,2002,The Netherlands,-,Progressive
501,Mar De Grises,157,2000,Chile,2000,Doom
502,Wolfheart,157,2013,Finland,-,Melodic death
503,Darkspace,156,1999,Switzerland,1999,Ambient black
504,Legion Of The Damned,156,2005,The Netherlands,-,"Thrash,Death"
505,Liquid Tension Experiment,155,1998,USA,1998,"Progressive,Instrumental"
506,Tarot,155,1985,Finland,-,Power
507,The Sins Of Thy Beloved,154,1996,Norway,1996,Symphonic gothic
508,The Vision Bleak,154,2000,Germany,-,Gothic
509,Fallujah,153,2007,USA,2007,"Progressive death,Technical deathcore"
510,Witherscape,153,2013,Sweden,-,"Atmospheric death,Extreme progressive"
511,Einherjer,152,1993,Norway,1993,Viking folk
512,Primus,152,1984,USA,-,"Alternative,Experimental rock"
513,Sunn O))),152,1998,USA,1998,"Drone doom,Dark,Ambient"
514,Airbourne,151,2001,Australia,-,Hard rock
515,Decrepit Birth,151,2001,USA,2001,"Brutal death,Technical death"
516,Grand Magus,151,1996,Sweden,-,"Doom,Heavy"
517,Uriah Heep,151,1969,United Kingdom,1969,Hard rock
518,Flotsam And Jetsam,150,1983,USA,-,Thrash
519,Blotted Science,149,2005,USA,2005,"Progressive,Instrumental"
520,Limbonic Art,149,1993,Norway,-,"Symphonic black,Black"
521,Shadow Gallery,149,1985,USA,1985,Progressive
522,Fen,148,2006,United Kingdom,-,"Atmospheric black,Post-rock"
523,Skyfire,148,1995,Sweden,1995,Extreme power
524,Corrosion Of Conformity,146,1982,USA,-,Stoner
525,Vanden Plas,146,1990,Germany,1990,"Power,Progressive"
526,Halford,145,1999,United Kingdom,-,Heavy
527,In Extremo,145,1995,Germany,1995,Medieval folk
528,Mg?a,145,2000,Poland,-,Black
529,Solution .45,145,2007,Sweden,2007,Melodic death
530,Whispered,145,2001,Finland,-,Extreme power
531,Diamond Head,144,1976,United Kingdom,1976,"New wave of british heavy,Heavy"
532,Hate,144,1990,Poland,-,Death
533,God Dethroned,143,1990,The Netherlands,1990,"Death,Thrash"
534,Vreid,143,2004,Norway,-,Black
535,In The Silence,142,2009,USA,2009,Progressive
536,Static-X,142,1994,USA,2013,"Nu,Industrial,Alternative"
537,Nachtmystium,141,2000,USA,2000,"Black,Psychedelic black"
538,Royal Hunt,141,1989,Denmark,-,Symphonic power
539,Xasthur,141,1995,USA,1995,Depressive black
540,Suicidal Angels,140,2001,Greece,-,Thrash
541,Wolfchant,140,2003,Germany,2003,"Pagan folk,Melodic death"
542,ReVamp,139,2009,The Netherlands,2016,"Symphonic,Progressive"
543,Sadus,139,1984,USA,1984,"Death,Technical thrash"
544,Blackfield,138,2000,Israel,-,"Progressive rock,Avantgarde rock"
545,Nightrage,138,2000,"Greece, Sweden",2000,Melodic death
546,The 69 Eyes,138,1990,Finland,-,"Gothic,Glam rock,Gothic rock,Punk rock"
547,Pyramaze,137,2001,Denmark,2001,Progressive power
548,Serj Tankian,137,2007,USA,-,"Alternative,Hard rock"
549,Gloryhammer,136,2010,United Kingdom,2010,Power
550,Hour Of Penance,136,1999,Italy,-,Brutal death
551,Kalisia,136,1994,France,1994,Progressive death
552,Nargaroth,136,1996,Germany,-,Black
553,Trail Of Tears,136,1996,Norway,1996,Gothic
554,Sanctuary,135,1985,USA,-,Us power
555,Woods Of Desolation,135,2005,Australia,2005,Atmospheric black
556,Agathodaimon,134,1995,Germany,2014,"Symphonic black,Extreme gothic"
557,Sinergy,134,1997,"Sweden, Finland",1997,"Heavy,Power"
558,Sonic Syndicate,134,2002,Sweden,-,"Gothenburg,Metalcore"
559,Wuthering Heights,134,1989,Denmark,1989,"Progressive power,Folk"
560,I,133,2006,Norway,-,Blackened heavy
561,Heavenwood,132,1992,Portugal,1992,"Death,Gothic,Gothic doom"
562,Pig Destroyer,132,1997,USA,-,Grindcore
563,Doro,131,1987,Germany,1987,"Hard rock,Heavy"
564,Incantation,131,1989,USA,-,Death
565,Virgin Steele,131,1981,USA,1981,"Heavy,Symphonic"
566,Anvil,130,1978,Canada,-,Heavy
567,Bal-Sagoth,130,1989,United Kingdom,1989,"Symphonic black,Power"
568,Crowbar,130,1989,USA,-,Sludge
569,Mourning Beloveth,130,1992,Ireland,1992,Death doom
570,Oranssi Pazuzu,130,2007,Finland,-,Psychedelic black
571,Saor,130,2013,United Kingdom,2013,"Atmospheric black,Folk"
572,Ancient Bards,129,2006,Italy,-,Symphonic power
573,Dark Lunacy,129,1997,Italy,1997,"Melodic death,Symphonic"
574,Fairyland,129,1998,France,-,Symphonic power
575,Gama Bomb,129,2002,Ireland,2002,Thrash
576,In The Woods...,129,1991,Norway,-,"Black,Avantgarde,Progressive"
577,Leviathan,129,1998,USA,1998,Ambient black
578,Sybreed,129,2003,Switzerland,2013,"Groove thrash,Industrial"
579,Spiritual Beggars,127,1992,Sweden,1992,"Heavy,Stoner"
580,In This Moment,126,2005,USA,-,"Melodic metalcore,Alternative"
581,Saint Vitus,126,1979,USA,1979,Doom
582,U.D.O.,126,1987,Germany,-,Heavy
583,Atreyu,125,1998,USA,1998,"Melodic metalcore,Alternative"
584,Communic,125,2003,Norway,-,Progressive
585,Godflesh,125,1988,United Kingdom,1988,Industrial
586,Nightingale,125,1994,Sweden,-,"Gothic,Progressive"
587,Anubis Gate,124,2001,Denmark,2001,"Progressive,Power"
588,Deströyer 666,124,1994,"Australia, United Kingdom",-,Blackened thrash
589,Europe,124,1979,Sweden,1979,"Heavy,Hard rock"
590,Pentagram,124,1971,USA,-,Doom
591,Zyklon,124,1998,Norway,1998,"Black,Death"
592,Aeon,122,1999,Sweden,-,Death
593,Orden Ogan,122,1996,Germany,1996,"Medieval folk,Power"
594,Skyclad,122,1990,United Kingdom,-,Folk
595,Stormlord,122,1991,Italy,1991,Symphonic black
596,X Japan,122,1982,Japan,-,Power
597,Aquilus,121,2000,Australia,2000,"Atmospheric black,Symphonic black,Ambient"
598,Hail Spirit Noir,121,2010,Greece,-,"Blackened progressive,Psychedelic rock"
599,Wine From Tears,121,2002,Russia,2002,Death doom
600,Amesoeurs,120,2004,France,2009,"Black,Shoegaze"
601,Kampfar,120,1994,Norway,1994,"Black,Folk"
602,Unisonic,120,2009,Germany,-,"Melodic power,Hard rock"
603,Visions Of Atlantis,120,2000,Austria,2000,Symphonic
604,Karnivool,119,1996,Australia,-,"Alternative,Progressive"
605,OSI,119,2003,USA,2003,Progressive
606,Ouroboros,119,2001,Australia,-,"Technical death,Thrash"
607,Russian Circles,119,2004,USA,2004,Post-metal
608,Vulture Industries,119,1998,Norway,-,"Avantgarde,Progressive"
609,Blue Öyster Cult,118,1967,USA,1967,Hard rock
610,Drowning Pool,118,1996,USA,-,Alternative
611,Hellhammer,118,1982,Switzerland,1982,First wave of black
612,Benediction,117,1989,United Kingdom,-,Death
613,Blood Red Throne,117,1998,Norway,1998,Death
614,Gwar,117,1985,USA,-,"Alternative,Thrash,Hardcore,Punk"
615,Illnath,117,1997,Denmark,1997,Symphonic black
616,Crimson Glory,116,1982,USA,-,Progressive heavy
617,James LaBrie,116,1998,Canada,1998,Progressive
618,Witchcraft,116,2000,Sweden,-,Stoner
619,Darkest Hour,115,1995,USA,1995,"Melodic death,Metalcore"
620,Otep,115,2000,USA,-,"Nu,Alternative"
621,Red Fang,115,2005,USA,2005,"Stoner,Stoner rock"
622,Sacred Reich,115,1985,USA,-,"Speed,Thrash"
623,Solefald,115,1995,Norway,1995,"Progressive black,Avantgarde"
624,Solitude Aeturnus,115,1987,USA,-,Doom
625,Cruachan,114,1992,Ireland,1992,Celtic folk
626,D.R.I.,114,1982,USA,-,"Crossover thrash,Hardcore,Punk"
627,Exhumed,114,1991,USA,1991,Deathgrind
628,Forefather,114,1997,United Kingdom,-,"Folk,Black"
629,The Ruins Of Beverast,114,2003,Germany,2003,"Black,Doom"
630,Vision Divine,114,1998,Italy,-,Power
631,Dokken,113,1977,USA,1977,Heavy
632,Hollenthon,113,1994,Austria,-,"Symphonic,Melodic death"
633,Mägo De Oz,113,1989,Spain,1989,"Heavy,Folk"
634,Tribulation,113,2001,Sweden,-,"Thrash,Death,Black"
635,Battle Beast,112,2008,Finland,2008,Heavy
636,Bring Me The Horizon,112,2004,United Kingdom,-,"Metalcore,Deathcore,Post-hardcore"
637,Ex Deo,112,2008,Canada,2008,Symphonic death
638,Metsatöll,112,1999,Estonia,-,"Heavy,Folk"
639,Skepticism,112,1991,Finland,1991,Funeral doom
640,Dordeduh,111,2009,Romania,-,Atmospheric black
641,Redemption,111,2000,USA,2000,Progressive
642,Scale The Summit,111,2004,USA,-,"Progressive,Instrumental"
643,Vildhjarta,111,2005,Sweden,2005,"Progressive math,Djent"
644,Blood Stain Child,110,2000,Japan,-,"Extreme power,Trancecore,Melodic death"
645,Gorefest,110,1989,The Netherlands,1989,"Death,Hard rock"
646,Intronaut,110,2004,USA,-,"Post-metal,Atmospheric sludge"
647,Monster Magnet,110,1989,USA,1989,Stoner
648,Sinister,110,1989,The Netherlands,-,Death
649,Impaled Nazarene,109,1990,Finland,1990,"Black,Grindcore,Crust punk"
650,Kiuas,109,2000,Finland,2013,Power
651,While Heaven Wept,109,1989,USA,1989,"Doom,Progressive power"
652,Brymir,108,2006,Finland,-,Extreme folk
653,Celesty,108,1998,Finland,1998,Power
654,Darkseed,108,1992,Germany,-,Gothic
655,Die Apokalyptischen Reiter,108,1995,Germany,1995,"Death,Heavy"
656,Gris,108,2006,Canada,-,Depressive black
657,Orange Goblin,108,1995,United Kingdom,1995,Stoner
658,The Crown,108,1998,Sweden,-,"Death,Thrash"
659,Theocracy,108,2002,USA,2002,Progressive power
660,Violator,108,2002,Brazil,-,Thrash
661,Mechina,107,2004,USA,2004,Industrial death
662,Necrophobic,107,1989,Sweden,-,Death
663,Om,107,2003,USA,2003,"Stoner,Drone doom"
664,Vesania,107,1997,Poland,-,Symphonic black
665,Lifelover,106,2005,Sweden,2005,"Depressive black,Post-punk"
666,The Kovenant,106,1998,Norway,-,Industrial
667,Monstrosity,105,1990,USA,1990,Death
668,Persuader,104,1997,Sweden,-,"Power,Heavy"
669,Razor,104,1984,Canada,1984,Thrash
670,Svartsot,104,2005,Denmark,-,Folk
671,Avatarium,103,2013,Sweden,2013,Doom
672,Caliban,103,1997,Germany,-,Metalcore
673,Graveyard,103,2006,Sweden,2006,"Hard rock,Blues rock"
674,Hail Of Bullets,103,2006,The Netherlands,-,Death
675,Melvins,103,1984,USA,1984,"Sludge,Doom"
676,Oomph!,103,1989,Germany,-,"E,B,M ,Industrial,Industrial rock,Industrial"
677,UnSun,103,2006,Poland,2006,Gothic
678,Vio-lence,103,1985,USA,2005,Thrash
679,Abbath,102,2015,Norway,2015,Black
680,Angelus Apatrida,102,2000,Spain,-,Thrash
681,Blackmore's Night,102,1997,United Kingdom,1997,Folk rock
682,Labyrinth,102,1991,Italy,-,Progressive power
683,Shining (NOR),102,1999,Norway,1999,"Jazz,Experimental,Jazz ,Avantgarde"
684,Steel Panther,102,2000,USA,-,"Glam,Hard rock"
685,Toxik,102,1985,USA,1985,Technical thrash
686,Tsjuder,102,1993,Norway,-,Black
687,Bilocate,101,2003,Jordan,2003,"Blackened death,Death doom,Extreme progressive"
688,Brainstorm,101,1989,Germany,-,Power
689,ColdWorld,101,2005,Germany,2005,Ambient black
690,Forgotten Tomb,101,1999,Italy,-,"Doom,Black,Melodic black"
691,Nasum,101,1993,Sweden,1993,Grindcore
692,Beherit,100,1989,Finland,-,"Black,Ambient"
693,Lord Belial,100,1992,Sweden,1992,Black
694,Marillion,100,1979,United Kingdom,-,Progressive rock
695,Deadlock,99,1997,Germany,1997,"Alternative,Melodic metalcore,Melodic death"
696,Dominia,99,1999,Russia,-,"Symphonic death,Melodic death,Gothic"
697,Lazarus A.D.,99,2005,USA,2005,Thrash
698,Midnattsol,99,2002,Norway,-,"Folk,Gothic"
699,Pathfinder,99,2006,Poland,2006,Symphonic power
700,Skyforger,99,1991,Latvia,-,"Black,Folk"
701,Thurisaz,99,1997,Belgium,1997,"Atmospheric black,Death doom"
702,Altar Of Plagues,98,2006,Ireland,2013,"Black,Post-metal"
703,Angel Witch,98,1977,United Kingdom,1977,"New wave of british heavy,Heavy"
704,Cephalic Carnage,98,1992,USA,-,Grindcore
705,Demon Hunter,98,2000,USA,2000,Metalcore
706,Neurotech,98,2007,Slovenia,-,"Industrial,Symphonic"
707,Thy Light,98,2005,Brazil,2005,Depressive black
708,Abigail Williams,97,2005,USA,-,"Symphonic black,Metalcore,Atmospheric black"
709,Aura Noir,97,1993,Norway,1993,"Black,Thrash"
710,Enforcer,97,2005,Sweden,-,"Heavy,Speed"
711,Hell,97,1982,United Kingdom,1982,"New wave of british heavy,Heavy"
712,Jesu,97,2003,United Kingdom,-,"Drone,Shoegaze ,Post-metal"
713,Obscure Sphinx,97,2008,Poland,2008,"Post-metal,Doom,Sludge"
714,Prong,97,1986,USA,-,"Thrash,Industrial"
715,Earth,96,1990,USA,1990,"Drone doom,Psychedelic rock"
716,Killing Joke,96,1979,United Kingdom,-,"Industrial,Post-,Punk,Darkwave"
717,Mr. Bungle,96,1985,USA,1985,Avantgarde
718,MyGrain,96,2004,Finland,2015,Gothenburg
719,October Falls,96,2001,Finland,2001,"Doom,Folk,Ambient black"
720,Trees Of Eternity,96,2008,Finland,-,Gothic doom
721,Wilderun,96,2012,USA,2012,Symphonic folk
722,Disillusion,95,1994,Germany,-,"Extreme progressive,Progressive"
723,Dreamtale,95,1998,Finland,1998,Power
724,Mushroomhead,95,1993,USA,-,"Alternative,Industrial,Nu"
725,Officium Triste,95,1994,The Netherlands,1994,Death doom
726,Rosetta,95,2003,USA,-,"Post-metal,Sludge"
727,Silencer,95,1995,Sweden,1995,Black
728,Trollfest,95,2004,Norway,-,Folk
729,Varg,95,2005,Germany,2005,"Melodic black,Pagan folk"
730,Angtoria,94,2004,United Kingdom,2011,Symphonic
731,Blackguard,94,2001,Canada,2001,"Gothic,Folk,Power"
732,Dir En Grey,94,1997,Japan,-,Alternative
733,Forest Stream,94,1995,Russia,1995,Doom
734,Morbid Saint,94,1986,USA,-,Thrash
735,Terrorizer,94,1986,USA,1986,"Grindcore,Death"
736,Threat Signal,94,2004,Canada,-,Melodic death
737,Axxis,93,1988,Germany,1988,"Heavy,Power"
738,Carnifex,93,2005,USA,-,Deathcore
739,Eyehategod,93,1988,USA,1988,"Doom,Sludge"
740,Riot V,93,1976,USA,-,"Heavy,Hard rock"
741,Stormwarrior,93,1998,Germany,1998,Power
742,Terra Tenebrosa,93,2009,Sweden,-,"Avantgarde,Ambient"
743,Theatres Des Vampires,93,1994,Italy,1994,"Symphonic black,Gothic"
744,Witchery,93,1997,Sweden,-,Thrash
745,Darkane,92,1998,Sweden,1998,"Death,Thrash"
746,Diabolical Masquerade,92,1993,Sweden,2004,Avantgarde black
747,Gotthard,92,1992,Switzerland,1992,Hard rock
748,Isole,92,1990,Sweden,-,Epic doom
749,Dan Swanö,91,1998,Sweden,1998,Extreme progressive
750,Deeds Of Flesh,91,1993,USA,-,Brutal death
751,Thunderstone,91,2000,Finland,2000,"Power,Heavy"
752,Warning,91,1993,United Kingdom,2009,Epic doom
753,Xerath,91,2007,United Kingdom,2007,Symphonic math
754,40 Watt Sun,90,2009,United Kingdom,-,Doom
755,Allen/Lande,90,2005,USA,2005,Heavy
756,KMFDM,90,1984,Germany,-,"Industrial,Dance"
757,Savage Circus,90,2004,Germany,2004,Power
758,Beseech,89,1992,Sweden,-,Gothic
759,King Of Asgard,89,2008,Sweden,2008,Viking black
760,Machinae Supremacy,89,2000,Sweden,-,Power
761,Pallbearer,89,2008,USA,2008,Doom
762,Ratt,89,1983,USA,-,"Glam,Hard rock"
763,The Absence,89,2002,USA,2002,Melodic death
764,The Project Hate MCMXCIX,89,1998,Sweden,-,Industrial death
765,Voyager,89,1999,Australia,1999,Symphonic progressive
766,Demolition Hammer,88,1986,USA,-,Thrash
767,Entwine,88,1999,Finland,1999,Suomi
768,Kivimetsän Druidi,88,2002,Finland,-,Symphonic folk
769,Mordab,88,2001,Iran,2001,Progressive death
770,Skálmöld,88,2009,Iceland,-,Viking folk
771,Warmen,88,2000,Finland,2000,Progressive power
772,Agent Steel,87,1984,USA,-,"Speed,Thrash"
773,Anata,87,1993,Sweden,1993,Technical death
774,Andromeda,87,1999,Sweden,-,Progressive
775,Brujeria,87,1989,Mexico,1989,"Grindcore,Death"
776,Enthroned,87,1993,Belgium,-,Black
777,Lantlôs,87,2005,Germany,2005,"Atmospheric black,Post-rock"
778,Mnemic,87,1998,Denmark,-,"Industrial,Nu"
779,Penumbra,87,1996,France,1996,Symphonic gothic
780,Veil Of Maya,87,2004,USA,-,Deathcore
781,Augury,86,2001,Canada,2001,Technical death
782,Austere,86,2007,Australia,2010,Depressive black
783,Northern Kings,86,2007,Finland,2007,Symphonic
784,Portal,86,1994,Australia,-,Experimental death
785,Rata Blanca,86,1985,Argentina,1985,"Heavy,Hard rock,Power"
786,To/Die/For,86,1993,Finland,2016,Suomi
787,UFO,85,1969,United Kingdom,1969,"Hard rock,Heavy"
788,Fields Of The Nephilim,84,1984,United Kingdom,-,"Gothic rock,Gothic,Death"
789,Helevorn,84,1999,Spain,1999,Gothic doom
790,Lunatica,84,1998,Switzerland,-,Symphonic power
791,Aenaon,83,2005,Greece,2005,Progressive black
792,At Vance,83,1998,Germany,-,"Heavy,Power"
793,Behexen,83,1994,Finland,1994,Black
794,Holy Grail,83,2008,USA,-,"Heavy,Power"
795,Zonaria,83,2001,Sweden,2001,"Power,Melodic death"
796,Dark The Suns,82,2005,Finland,2013,Gothic
797,Funeral,82,1991,Norway,1991,"Funeral doom,Doom"
798,Hellyeah,82,2006,USA,-,Groove heavy
799,Jag Panzer,82,1981,USA,1981,Us power
800,Mournful Congregation,82,1993,Australia,-,Funeral doom
801,Ragnarok,82,1994,Norway,1994,Black
802,Wodensthrone,82,2005,United Kingdom,2016,Atmospheric black
803,Yob,82,1996,USA,1996,"Doom,Stoner"
804,An Autumn For Crippled Children,81,2008,The Netherlands,-,"Atmospheric black,Post-rock,Shoegaze"
805,Flowing Tears,81,1999,Germany,1999,Gothic
806,Helstar,81,1982,USA,-,"Power,Speed,Thrash"
807,Mezarkabul,81,1987,Turkey,1987,"Heavy,Thrash"
808,The 3rd And The Mortal,81,1992,Norway,2005,"Atmospheric doom,Experimental doom,Jazz rock"
809,Abigor,80,1993,Austria,1993,Black
810,Bonded By Blood,80,2005,USA,-,Thrash
811,Sabbat,80,1985,United Kingdom,1985,Pagan thrash
812,Slash,80,2009,USA,-,"Hard rock,Blues rock"
